"a" "b" "alpha" "profit" "BandH" "SR"
"1" 0 0 0 0 0 0
"2" 0.5 0.1 0.001 1.01343029225227 0.884519267870224 0.483957219251337
"3" 0.5 0.25 0.001 0.955380581706844 0.884519267870224 0.481283422459893
"4" 0.7 0.1 0.001 0.953171863860671 0.884519267870224 0.475935828877005
"5" 0.7 0.25 0.001 0.944826703922479 0.884519267870224 0.474598930481283
"6" 1 1 0.001 0.893465930778133 0.884519267870224 0.343582887700535
"7" 0.5 0.1 0.01 1.01775430479896 0.884519267870224 0.482620320855615
"8" 0.5 0.25 0.01 0.95986969080182 0.884519267870224 0.475935828877005
"9" 0.7 0.1 0.01 0.953728309188092 0.884519267870224 0.474598930481283
"10" 0.7 0.25 0.01 0.946298635954625 0.884519267870224 0.474598930481283
"11" 1 1 0.01 0.900861936411427 0.884519267870224 0.245989304812834
"12" 0.5 0.1 0.1 1.02118553656148 0.884519267870224 0.482620320855615
"13" 0.5 0.25 0.1 0.962405059754401 0.884519267870224 0.475935828877005
"14" 0.7 0.1 0.1 0.95403104086229 0.884519267870224 0.474598930481283
"15" 0.7 0.25 0.1 0.94706787745106 0.884519267870224 0.474598930481283
"16" 1 1 0.1 0.903631367632103 0.884519267870224 0.344919786096257
"17" 0.5 0.1 0.25 1.02232991811773 0.884519267870224 0.482620320855615
"18" 0.5 0.25 0.25 0.963667940090985 0.884519267870224 0.474598930481283
"19" 0.7 0.1 0.25 0.954201686106764 0.884519267870224 0.474598930481283
"20" 0.7 0.25 0.25 0.947536153022706 0.884519267870224 0.475935828877005
"21" 1 1 0.25 0.906887620036286 0.884519267870224 0.457219251336898
"22" 0.5 0.1 1 1.0225577703718 0.884519267870224 0.481283422459893
"23" 0.5 0.25 1 0.964196893735867 0.884519267870224 0.47192513368984
"24" 0.7 0.1 1 0.95428166083408 0.884519267870224 0.473262032085562
"25" 0.7 0.25 1 0.947763895875638 0.884519267870224 0.473262032085562
"26" 1 1 1 0.908683223874319 0.884519267870224 0.489304812834225
